Telefon\zmienne;Ocena;Cena;Pamiec wbudowana;Pamiec RAM;Waga (g);bateria (mAh);Zegar procesora (Mhz);roznica kwartalow;Megapiksele;Marka;Kolor;Odcieñ;
SAMSUNG GALAXY A25;5,58;1349;128;6;197;4905;2400;1;50;Samsung;Czarny;normalny;
SAMSUNG GALAXY A25;5,58;1349;128;6;197;4905;2400;1;50;Samsung;Niebieski;normalny;
SAMSUNG GALAXY A25;5,58;1349;128;6;197;4905;2400;1;50;Samsung;¯ó³ty;normalny;
SAMSUNG GALAXY S22 ULTRA;7,17;5299;128;8;229;5000;2800;8;108;Samsung;Bia³y;normalny;
SAMSUNG GALAXY S22 ULTRA;7,17;4499;128;8;229;5000;2800;8;108;Samsung;Burgundowy;normalny;
SAMSUNG GALAXY S22 ULTRA;7,17;5299;128;8;229;5000;2800;8;108;Samsung;Czarny;normalny;
SAMSUNG GALAXY S22 ULTRA;7,17;5199;256;12;229;5000;2800;8;108;Samsung;Zielony;normalny;
SAMSUNG GALAXY S22 ULTRA;7,17;5399;512;12;229;5000;2800;8;108;Samsung;Bia³y;normalny;
SAMSUNG GALAXY S22 ULTRA;7,17;6899;512;12;229;5000;2800;8;108;Samsung;Burgundowy;normalny;
SAMSUNG GALAXY S22 ULTRA;7,17;5999;512;12;229;5000;2800;8;108;Samsung;Czarny;normalny;
SAMSUNG GALAXY S22 ULTRA;7,17;4699;512;12;229;5000;2800;8;108;Samsung;Zielony;normalny;
Samsung Galaxy M34 5G;7,41;1069;128;6;208;6000;2400;2;50;Samsung;Niebieski;ciemny;Granatowy
Samsung Galaxy M34 5G;7,41;1069;128;6;208;6000;2400;2;50;Samsung;Niebieski;normalny;
Samsung Galaxy M34 5G;7,41;1079;128;6;208;6000;2400;2;50;Samsung;Srebrny;normalny;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
HUAWEI P20 LITE;;519;128;4;;;;;;;Niebieski;;https://allegro.pl/oferta/huawei-p20-lite-4gb-128gb-3000mah-pelny-zestaw-12753463217?context=c6a884505eba0abec312afbe042b50ea3e87e38eb6de2e43cf20e8eb3f50d85c310b758ef2f84caf66dfbbc08487f3e01e98f7527f663fe993e6d8d01b212dc5f46cdf0e3df8b0c007b8a9d4fbe0698429cd5b376e028a793d9926ac79e48f9c0a0f30fb58446c8fcc60ab12d714e4f1b81779aabac3e0bba1eaa33e553ab57b5b342ed9fccca623ced4d8861fe85f78&fromVariant=14896367117
HUAWEI P20 LITE;;499;128;4;;;;;;;Czarny;;https://allegro.pl/oferta/huawei-p20-lite-4gb-128gb-3000mah-pelny-zestaw-12753463217?context=c6a884505eba0abec312afbe042b50ea3e87e38eb6de2e43cf20e8eb3f50d85c310b758ef2f84caf66dfbbc08487f3e01e98f7527f663fe993e6d8d01b212dc5f46cdf0e3df8b0c007b8a9d4fbe0698429cd5b376e028a793d9926ac79e48f9c0a0f30fb58446c8fcc60ab12d714e4f1b81779aabac3e0bba1eaa33e553ab57b5b342ed9fccca623ced4d8861fe85f78&fromVariant=14896367117
HUAWEI P20 LITE;;369;128;4;;;;;;;Ró¿owy;;https://allegro.pl/oferta/huawei-p20-lite-4gb-128gb-3000mah-pelny-zestaw-12753463217?context=c6a884505eba0abec312afbe042b50ea3e87e38eb6de2e43cf20e8eb3f50d85c310b758ef2f84caf66dfbbc08487f3e01e98f7527f663fe993e6d8d01b212dc5f46cdf0e3df8b0c007b8a9d4fbe0698429cd5b376e028a793d9926ac79e48f9c0a0f30fb58446c8fcc60ab12d714e4f1b81779aabac3e0bba1eaa33e553ab57b5b342ed9fccca623ced4d8861fe85f78&fromVariant=14896367117
HUAWEI P20 LITE;;539;64;4;;;;;;;Czarny;;https://allegro.pl/oferta/huawei-p20-lite-4gb-128gb-3000mah-pelny-zestaw-12753463217?context=c6a884505eba0abec312afbe042b50ea3e87e38eb6de2e43cf20e8eb3f50d85c310b758ef2f84caf66dfbbc08487f3e01e98f7527f663fe993e6d8d01b212dc5f46cdf0e3df8b0c007b8a9d4fbe0698429cd5b376e028a793d9926ac79e48f9c0a0f30fb58446c8fcc60ab12d714e4f1b81779aabac3e0bba1eaa33e553ab57b5b342ed9fccca623ced4d8861fe85f78&fromVariant=14896367117
HUAWEI P20 LITE;;539;64;4;;;;;;;Niebieski;;https://allegro.pl/oferta/huawei-p20-lite-4gb-128gb-3000mah-pelny-zestaw-12753463217?context=c6a884505eba0abec312afbe042b50ea3e87e38eb6de2e43cf20e8eb3f50d85c310b758ef2f84caf66dfbbc08487f3e01e98f7527f663fe993e6d8d01b212dc5f46cdf0e3df8b0c007b8a9d4fbe0698429cd5b376e028a793d9926ac79e48f9c0a0f30fb58446c8fcc60ab12d714e4f1b81779aabac3e0bba1eaa33e553ab57b5b342ed9fccca623ced4d8861fe85f78&fromVariant=14896367117
HUAWEI P20 LITE;;450;64;4;;;;;;;Ró¿owy;;https://allegro.pl/oferta/huawei-p20-lite-4gb-128gb-3000mah-pelny-zestaw-12753463217?context=c6a884505eba0abec312afbe042b50ea3e87e38eb6de2e43cf20e8eb3f50d85c310b758ef2f84caf66dfbbc08487f3e01e98f7527f663fe993e6d8d01b212dc5f46cdf0e3df8b0c007b8a9d4fbe0698429cd5b376e028a793d9926ac79e48f9c0a0f30fb58446c8fcc60ab12d714e4f1b81779aabac3e0bba1eaa33e553ab57b5b342ed9fccca623ced4d8861fe85f78&fromVariant=14896367117
HUAWEI P20 LITE;;144;64;4;;;;;;;Z³oty;;https://allegro.pl/oferta/huawei-p20-lite-4gb-128gb-3000mah-pelny-zestaw-12753463217?context=c6a884505eba0abec312afbe042b50ea3e87e38eb6de2e43cf20e8eb3f50d85c310b758ef2f84caf66dfbbc08487f3e01e98f7527f663fe993e6d8d01b212dc5f46cdf0e3df8b0c007b8a9d4fbe0698429cd5b376e028a793d9926ac79e48f9c0a0f30fb58446c8fcc60ab12d714e4f1b81779aabac3e0bba1eaa33e553ab57b5b342ed9fccca623ced4d8861fe85f78&fromVariant=14896367117
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Apple iphone 13;5,48;2819;128;4;174;4085;3220;9;12;Apple;;;
Samsung Galaxy A54;7,95;1599;128;8;202;5000;2400;3;50;Samsung;;;
Motorola g72;6,89;899;128;8;166;5000;2200;4;108;Motorola;;;
HTC U23 PRO;7,78;1899;256;12;205;4600;2400;2;108;HTC;;;
HTC DESIRE 22 PRO;5,82;998;128;8;205,5;4520;2200;6;64;HTC;;;
HTC 10;8,78;555;32;4;161;3000;2200;30;12;HTC;;;
Xiaomi Redmi Note 13 Pro 5G;6,81;3700;512;16;187;5100;2800;1;200;Xiaomi;;;
;;;;;;;;;;;;;
Huawei Mate 60 RS Ultimate;6,79;11000;1000;16;246;5000;2620;1;48;Huawei;;;
